E; class; [MT]/download_file/body
E; class; [CN]/FMLDummyContainer/[MT]/getDataForWriting(SaveHandler,WorldInfo)/body
E; class; [CN]/FMLOutboundHandler/[MT]/validateArgs(Object).conflicted6/body
E; class; [CN]/FMLOutboundHandler/[MT]/validateArgs(Object).conflicted6/body
E; class; [CN]/LiquidStack/[MT]/loadLiquidStackFromNBT(NBTTagCompound)/body
E; class; [CN]/CommandTreeBase/[MT]/isUsernameIndex(String[],int)/body
E; class; [CN]/PotionBrewEvent/[MT]/getLength()/body
E; class; [CN]/ExplosionEvent/[FE]/explosion
E; class; [CN]/ExplosionEvent/[CN]/Detonate/[MT]/getAffectedEntities()/parameters
E; class; [CN]/ForgeEventFactory/[MT]/onExplosionDetonate(World,Explosion,List<Entity>,double)/parameters
E; class; package
E; class; package
E; class; package
E; class; package
E; class; package
E; class; [CN]/PotionBrewEvent/[MT]/getItem(int)/body
E; class; [CN]/FMLDeobfuscatingRemapper/[MT]/mapFieldName(String,String,String)/body
E; class; [CN]/PotionBrewEvent/[FE]/stacks
E; class; [CN]/PotionBrewedEvent/[CS]/PotionBrewedEvent(ItemStack[])/body
E; class; [CN]/RelaunchClassLoader/[FE]/sources
E; class; [CN]/GuiConfigEntries/[CN]/ListEntryBase/[CS]/ListEntryBase(GuiConfig,GuiConfigEntries,IConfigElement)/body
E; class; [CN]/KeyBindingRegistry/[CN]/KeyHandler/[FE]/repeatings
E; class; [CN]/GuiIngameForge/[MT]/renderExperience(int,int)/body
E; class; [CN]/PotionBrewEvent/[MT]/setItem(int,ItemStack)/parameters
E; class; [CN]/Downloader/[MT]/makeDialog()/body
E; class; [CN]/FMLCommonHandler/[MT]/handleWorldDataLoad(SaveHandler,WorldInfo,NBTTagCompound)/body
E; class; [CN]/PotionBrewEvent/[CN]/Post/[CS]/Post(ItemStack[])/parameters
E; class; [CN]/GameData/[MT]/validateWorldSave(Set<ItemData>)/parameters
E; class; [CN]/BaseMod/[MT]/doTickInGUI(TickType,boolean,Object,Object)/body
E; class; [CN]/GameData/[FE]/clientValidationLatch
E; class; [CN]/GuiUtils/[MT]/drawGradientRect(int,int,int,int,int,int,int)/body
E; class; [CN]/LivingHealEvent/[CS]/LivingHealEvent(EntityLivingBase,float)/body
E; class; [CN]/GameData/[FE]/difference
E; class; [CN]/ItemLayerModel/[MT]/getQuadsForSprite(int,TextureAtlasSprite,VertexFormat,TRSRTransformation)/body
E; class; [CN]/ModClassLoader/[MT]/getParentSources()/body
E; class; [CN]/GameRegistry/[MT]/addAlias(String,String,GameRegistry.Type)/parameters
E; class; [CN]/GameData/[MT]/releaseGate(boolean)/body
E; class; [CN]/FMLOutboundHandler/[MT]/selectNetworks(Object,ChannelHandlerContext,FMLProxyPacket).conflicted7/body
E; class; [CN]/FMLOutboundHandler/[MT]/selectNetworks(Object,ChannelHandlerContext,FMLProxyPacket).conflicted7/body
E; class; [CN]/FMLOutboundHandler/[MT]/selectNetworks(Object,ChannelHandlerContext,FMLProxyPacket).conflicted3/body
